Selected parameters:
 1 Timeshift
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSE)
 4 BZ, nT (GSE)
 5 Vx Velocity,km/s
 6 Vy Velocity, km/s
 7 Vz Velocity, km/s
 8 Proton Density, n/cc
 9 Proton Temperature, K
10 Flow pressure, nPa
11 AL-index, nT

YYYY DOY HR MN     1       2       3       4       5       6       7      8        9    10    11 
2015  73  0 54   3316    0.25    6.56    2.02  -367.5   -50.4    -7.7   8.50   26503.  2.34   -14
2015  73  0 55   3343   -0.38    6.72    1.00 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -14
2015  73  0 56   3366   -0.55    6.58    1.76  -362.5   -49.5    -4.0   9.22   27140.  2.47   -13
2015  73  0 57   3352   -0.26    6.42    2.16  -364.0   -49.8    -4.1   9.23   28186.  2.49   -13
2015  73  0 58   3358   -0.65    6.65    1.35  -365.1   -50.3    -4.3   9.23   28356.  2.51   -13
2015  73  0 59   3361   -0.99    6.41    1.80  -363.3   -50.1    -4.9   9.20   27335.  2.48   -13
2015  73  1  0   3336   -0.86    6.25    2.62  -361.6   -47.7    -8.0   9.31   30547.  2.48   -13
2015  73  1  1   3339   -0.64    6.32    2.48  -362.4   -48.2    -8.7   9.61   28548.  2.57   -13
2015  73  1  2   3354   -0.94    6.43    2.13  -363.1   -49.2    -7.9   9.74   28229.  2.62   -13
2015  73  1  3   3363   -0.85    6.37    2.37  -361.9   -49.0    -6.0   8.86   25186.  2.36   -14
2015  73  1  4   3364   -0.77    6.28    2.68  -361.9   -49.0    -6.0   8.86   25186.  2.36   -14
2015  73  1  5   3366   -0.86    6.33    2.42  -360.9   -49.1    -7.6   9.31   27804.  2.47   -14
2015  73  1  6   3359   -0.79    5.97    3.21  -360.0   -49.2    -7.8   9.42   26384.  2.49   -15
2015  73  1  7   3335   -0.69    5.94    3.24  -361.4   -48.4    -9.8   9.36   27858.  2.49   -15
2015  73  1  8   3331    0.25    6.32    2.44  -362.1   -49.0    -9.5   9.98   24575.  2.67   -15
2015  73  1  9   3333    0.03    6.31    2.66  -368.4   -50.8    -5.7   9.39   23266.  2.60   -15
2015  73  1 10   3344   -0.15    6.23    2.83  -363.4   -50.3    -8.3   9.84   27186.  2.65   -15
2015  73  1 11   3344   -0.98    6.01    2.91  -361.9   -48.9    -9.4   9.11   24166.  2.43   -15
2015  73  1 12   3349   -0.91    5.83    3.29  -360.7   -49.2   -10.0   9.66   25332.  2.56   -14
2015  73  1 13   3338   -0.37    6.30    2.43  -362.0   -48.8   -10.1   9.30   28542.  2.48   -14
2015  73  1 14   3362   -0.21    6.40    2.27  -362.4   -49.2    -9.4   9.19   28100.  2.46   -14
2015  73  1 15   3359   -0.85    6.25    2.58  -362.0   -50.7    -7.4   9.38   24441.  2.51   -14
2015  73  1 16   3340   -0.55    6.10    2.97  -361.1   -49.6    -8.7   9.88   26519.  2.63   -14
2015  73  1 17   3324   -0.64    6.03    2.98  -362.1   -51.2    -9.2   9.85   27050.  2.64   -15
2015  73  1 18   3321   -0.96    5.92    3.10  -360.6   -49.1   -10.3   9.99   25643.  2.65   -15
2015  73  1 19   3334   -0.64    5.86    3.26  -360.7   -48.7   -10.9   9.91   25804.  2.63   -15
2015  73  1 20   3354   -0.58    5.81    3.28  -361.4   -48.6   -11.7   9.68   26798.  2.58   -15
